VariableName,Form,VariableType,ShortDescriptor,DataType,AllowableCodes
PSYCDISX,a5,Original UDS question,"If recent/active or remote/inactive psychiatric disorder, specify disorder",Character longitudinal, Any text or numbers
NACCTBI,a5,NACC derived variable,History of traumatic brain injury (TBI),Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HEIGHT,b1,Original UDS question,Subject's height (inches),Numeric longitudinal," 36.0 -  87.9		
88.8 = Unknown or not assessed
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
WEIGHT,b1,Original UDS question,Subject's weight (lbs),Numeric longitudinal," 50  -  400	
888 = Unknown or not assessed
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCBMI,b1,NACC derived variable,Body mass index (BMI),Numeric longitudinal," 10.0 -  100.0	
888.8 = Unknown or not assessed
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BPSYS,b1,Original UDS question,"Subject blood pressure (sitting), systolic",Numeric longitudinal," 70 - 230	
888 = Unknown or not assessed
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BPDIAS,b1,Original UDS question,"Subject blood pressure (sitting), diastolic",Numeric longitudinal," 30 - 140	
888 = Unknown or not assessed
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HRATE,b1,Original UDS question,Subject resting heart rate (pulse),Numeric longitudinal," 33 -160	
888 = Unknown or not assessed
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VISION,b1,Original UDS question,"Without corrective lenses, is the subject's vision functionally normal?",Numeric longitudinal," 0 = No 
1 = Yes 
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VISCORR,b1,Original UDS question,Does the subject usually wear corrective lenses?,Numeric longitudinal," 0 = No 
1 = Yes 
9 = Unknown
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VISWCORR,b1,Original UDS question,"If the subject usually wears corrective lenses, is the subject's vision functionally normal with corrective lenses?",Numeric longitudinal," 0 = No 
1 = Yes 
8 = Not applicable, does not wear corrective lenses
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HEARING,b1,Original UDS question,"Without a hearing aid(s), is the subject's hearing functionally normal?",Numeric longitudinal," 0 = No 
1 = Yes 
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HEARAID,b1,Original UDS question,Does the subject usually wear a hearing aid(s)?,Numeric longitudinal," 0 = No 
1 = Yes 
9 = Unknown
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HEARWAID,b1,Original UDS question,"If the subject usually wears a hearing aid(s), is the subject's hearing functionally normal with a hearing aid(s)?",Numeric longitudinal," 0 = No 
1 = Yes 
8 = Not applicable, does not wear hearing aid(s)
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ABRUPT,b2,Original UDS question,Abrupt onset (re: cognitive status),Numeric longitudinal," 0 = Absent
2 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
STEPWISE,b2,Original UDS question,Stepwise deterioration (re: cognitive status),Numeric longitudinal," 0 = Absent
1 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
SOMATIC,b2,Original UDS question,Somatic complaints,Numeric longitudinal," 0 = Absent
1 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
EMOT,b2,Original UDS question,Emotional incontinence,Numeric longitudinal," 0 = Absent
1 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HXHYPER,b2,Original UDS question,History or presence of hypertension,Numeric longitudinal," 0 = Absent
1 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HXSTROKE,b2,Original UDS question,History of stroke,Numeric longitudinal," 0 = Absent
2 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FOCLSYM,b2,Original UDS question,Focal neurological symptoms,Numeric longitudinal," 0 = Absent
2 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FOCLSIGN,b2,Original UDS question,Focal neurological signs,Numeric longitudinal," 0 = Absent
2 = Present
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HACHIN,b2,Original UDS question,Hachinski Ischemic score,Numeric longitudinal," 0 - 12
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDCOG,b2,Original UDS question,Cerebrovascular disease contributing to cognitive impairment,Numeric longitudinal," 0 = No
1 = Yes
8 = Not applicable
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
STROKCOG,b2,Original UDS question,Relationship between stroke and cognitive impairment,Numeric longitudinal," 0 = No
1 = Yes
8 = Not applicable
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDIMAG,b2,Original UDS question,Imaging evidence,Numeric longitudinal," 0 = No
1 = Yes
8 = Not applicable
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDIMAG1,b2,Original UDS question,Single strategic infarct,Numeric longitudinal," 0 = No
1 = Yes
8 = Not applicable
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDIMAG2,b2,Original UDS question,Multiple infarcts,Numeric longitudinal," 0 = No
1 = Yes
8 = Not applicable
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDIMAG3,b2,Original UDS question,Extensive white matter hyperintensity,Numeric longitudinal," 0 = No
1 = Yes
8 = Not applicable
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDIMAG4,b2,Original UDS question,Other imaging evidence,Numeric longitudinal," 0 = No
1 = Yes
8 = Not applicable
- 4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDIMAGX,b2,Original UDS question,Other imaging evidence - specify,Character longitudinal, Any text or numbers
PDNORMAL,b3,Original UDS question,UPDRS normal,Numeric longitudinal," 0 = No, not normal
1 = Yes, normal
8 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
SPEECH,b3,Original UDS question,Speech,Numeric longitudinal," 0 = Normal
1 = Slight loss of expression, diction, and/or volume
2 = Monotone, slurred but understandable; moderately impaired
3 = Marked impairment, difficult to understand
4 = Unintelligible
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
SPEECHX,b3,Original UDS question,Speech; untestable - specify reason,Character longitudinal, Any text or numbers
FACEXP,b3,Original UDS question,Facial expression,Numeric longitudinal," 0 = Normal
1 = Minimal hypomimia, could be normal ""poker face""
2 = Slight but definitely abnormal diminution of facial expression
3 = Moderate hypomimia; lips parted some of the time
4 = Masked or fixed facies with severe or complete loss of facial expression; lips parted one-quarter inch or more
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FACEXPX,b3,Original UDS question,"Facial expression; untestable - 
specify reason",Character longitudinal, Any text or numbers
TRESTFAC,b3,Original UDS question,"Tremor at rest - face, lips, chin",Numeric longitudinal," 0 = Absent
1 = Slight and infrequently present
2 = Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present
3 = Moderate in amplitude and present most of the time
4 = Marked in amplitude and present most of the time
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRESTFAX,b3,Original UDS question,"Tremor at rest - face, lips, chin; 
untestable - specify reason",Character longitudinal, Any text or numbers
TRESTRHD,b3,Original UDS question,Tremor at rest - right hand,Numeric longitudinal," 0 = Absent
1 = Slight and infrequently present
2 = Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present
3 = Moderate in amplitude and present most of the time
4 = Marked in amplitude and present most of the time
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRESTRHX,b3,Original UDS question,"Tremor at rest - right hand; 
untestable - specify reason",Character longitudinal, Any text or numbers
TRESTLHD,b3,Original UDS question,Tremor at rest - left hand,Numeric longitudinal," 0 = Absent
1 = Slight and infrequently present
2 = Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present
3 = Moderate in amplitude and present most of the time
4 = Marked in amplitude and present most of the time
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRESTLHX,b3,Original UDS question,"Tremor at rest - left hand; 
untestable - specify reason",Character longitudinal, Any text or numbers
TRESTRFT,b3,Original UDS question,Tremor at rest - right foot,Numeric longitudinal," 0 = Absent
1 = Slight and infrequently present
2 = Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present
3 = Moderate in amplitude and present most of the time
4 = Marked in amplitude and present most of the time
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRESTRFX,b3,Original UDS question,"Tremor at rest - right foot; 
untestable - specify reason",Character longitudinal, Any text or numbers
TRESTLFT,b3,Original UDS question,Tremor at rest - left foot,Numeric longitudinal," 0 = Absent
1 = Slight and infrequently present
2 = Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present
3 = Moderate in amplitude and present most of the time
4 = Marked in amplitude and present most of the time
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRESTLFX,b3,Original UDS question,"Tremor at rest - left foot; 
untestable - specify reason",Character longitudinal, Any text or numbers
TRACTRHD,b3,Original UDS question,Action or postural tremor - right hand,Numeric longitudinal," 0 = Absent
1 = Slight; present with action
2 = Moderate in amplitude, present with action
3 = Moderate in amplitude with posture holding as well as action
4 = Marked in amplitude; interferes with feeding
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRACTRHX,b3,Original UDS question,Action or postural tremor - right hand; untestable - specify reason,Character longitudinal, Any text or numbers
TRACTLHD,b3,Original UDS question,Action or postural tremor - left hand,Numeric longitudinal," 0 = Absent
1 = Slight; present with action
2 = Moderate in amplitude, present with action
3 = Moderate in amplitude with posture holding as well as action
4 = Marked in amplitude; interferes with feeding
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TRACTLHX,b3,Original UDS question,Action or postural tremor - left hand; untestable - specify reason,Character longitudinal, Any text or numbers
RIGDNECK,b3,Original UDS question,Rigidity - neck,Numeric longitudinal," 0 = Absent
1 = Slight or detectable only when activated by mirror or other movements
2 = Mild to moderate
3 = Marked, but full range of motion easily achieved
4 = Severe; range of motion achieved with difficulty
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
RIGDNEX,b3,Original UDS question,"Rigidity - neck; untestable - 
specify reason",Character longitudinal, Any text or numbers
RIGDUPRT,b3,Original UDS question,Rigidity - right upper extremity,Numeric longitudinal," 0 = Absent
1 = Slight or detectable only when activated by mirror or other movements
2 = Mild to moderate
3 = Marked, but full range of motion easily achieved
4 = Severe; range of motion achieved with difficulty
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
RIGDUPRX,b3,Original UDS question,"Rigidity - right upper extremity; 
untestable - specify reason",Character longitudinal, Any text or numbers
RIGDUPLF,b3,Original UDS question,Rigidity - left upper extremity,Numeric longitudinal," 0 = Absent
1 = Slight or detectable only when activated by mirror or other movements
2 = Mild to moderate
3 = Marked, but full range of motion easily achieved
4 = Severe; range of motion achieved with difficulty
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
RIGDUPLX,b3,Original UDS question,"Rigidity - left upper extremity; 
untestable - specify reason",Character longitudinal, Any text or numbers
RIGDLORT,b3,Original UDS question,Rigidity - right lower extremity,Numeric longitudinal," 0 = Absent
1 = Slight or detectable only when activated by mirror or other movements
2 = Mild to moderate
3 = Marked, but full range of motion easily achieved
4 = Severe; range of motion achieved with difficulty
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
RIGDLORX,b3,Original UDS question,"Rigidity - right lower extremity; 
untestable - specify reason",Character longitudinal, Any text or numbers
RIGDLOLF,b3,Original UDS question,Rigidity - left lower extremity,Numeric longitudinal," 0 = Absent
1 = Slight or detectable only when activated by mirror or other movements
2 = Mild to moderate
3 = Marked, but full range of motion easily achieved
4 = Severe; range of motion achieved with difficulty
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
RIGDLOLX,b3,Original UDS question,"Rigidity - left lower extremity; 
untestable - specify reason",Character longitudinal, Any text or numbers
TAPSRT,b3,Original UDS question,Finger taps - right hand,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TAPSRTX,b3,Original UDS question,"Finger taps - right hand; 
untestable - specify reason",Character longitudinal, Any text or numbers
TAPSLF,b3,Original UDS question,Finger taps - left hand,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TAPSLFX,b3,Original UDS question,"Finger taps - left hand; 
untestable - specify reason",Character longitudinal, Any text or numbers
HANDMOVR,b3,Original UDS question,Hand movements - right hand,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HANDMVRX,b3,Original UDS question,"Hand movements - right hand; 
untestable - specify reason",Character longitudinal, Any text or numbers
HANDMOVL,b3,Original UDS question,Hand movements - left hand,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HANDMVLX,b3,Original UDS question,"Hand movements - left hand; untestable 
		- specify reason",Character longitudinal, Any text or numbers
HANDALTR,b3,Original UDS question,Alternating movement - right hand,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HANDATRX,b3,Original UDS question,Alternating movement - right hand; untestable - specify reason,Character longitudinal, Any text or numbers
HANDALTL,b3,Original UDS question,Alternating movement - left hand,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HANDATLX,b3,Original UDS question,Alternating movement - left hand; untestable - specify reason,Character longitudinal, Any text or numbers
LEGRT,b3,Original UDS question,Leg agility - right leg,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
LEGRTX,b3,Original UDS question,"Leg agility - right leg; 
untestable - specify reason",Character longitudinal, Any text or numbers
LEGLF,b3,Original UDS question,Leg agility - left leg,Numeric longitudinal," 0 = Normal
1 = Mild slowing and/or reduction in amplitude
2 = Moderately impaired; definite and early fatiguing; may have occasional arrests in movement
3 = Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement
4 = Can barely perform the task
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
LEGLFX,b3,Original UDS question,"Leg agility - left leg; untestable - 
specify reason",Character longitudinal, Any text or numbers
ARISING,b3,Original UDS question,Arising from chair,Numeric longitudinal," 0 = Normal
1 = Slow; or may need more than one attempt
2 = Pushes self up from arms of seat
3 = Tends to fall back and may have to try more than one time, but can get up without help
4 = Unable to arise without help
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ARISINGX,b3,Original UDS question,"Arising from chair; untestable - 
specify reason",Character longitudinal, Any text or numbers
POSTURE,b3,Original UDS question,Posture,Numeric longitudinal," 0 = Normal
1 = Not quite erect, slightly stooped posture; could be normal for older person
2 = Moderately stooped posture, definitely abnormal; can be slightly leaning to one side
3 = Severely stooped posture with kyphosis; can be moderately leaning to one side
4 = Marked flexion with extreme abnormality of posture
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
POSTUREX,b3,Original UDS question,Posture; untestable - specify reason,Character longitudinal, Any text or numbers
GAIT,b3,Original UDS question,Gait,Numeric longitudinal," 0 = Normal
1 = Walks slowly; may shuffle with short steps, but no festination (hastening steps) or propulsion
2 = Walks with difficulty, but requires little or no assistance; may have some festination, short steps, or propulsion
3 = Severe disturbance of gait requiring assistance
4 = Cannot walk at all, even with assistance
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
GAITX,b3,Original UDS question,Gait; untestable - specify reason,Character longitudinal, Any text or numbers
POSSTAB,b3,Original UDS question,Posture stability,Numeric longitudinal," 0 = Normal erect
1 = Retropulsion, but recovers unaided
2 = Absence of postural response; would fall if not caught by examiner
3 = Very unstable, tends to lose balance spontaneously
4 = Unable to stand without assistance
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
POSSTABX,b3,Original UDS question,"Posture stability; untestable - 
specify reason",Character longitudinal, Any text or numbers
BRADYKIN,b3,Original UDS question,Body bradykinesia and hypokinesia,Numeric longitudinal," 0 = None
1 = Minimal slowness, giving movement a deliberate character; could be normal for some persons; possibly reduced amplitude
2 = Mild degree of slowness and poverty of movement which is definitely abnormal. Alternatively, some reduced amplitude
3 = Moderate slowness, poverty or small amplitude of movement
4 = Marked slowness, poverty or small amplitude of movement
8 = Untestable
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BRADYKIX,b3,Original UDS question,Body bradykinesia and hypokinesia; untestable - specify reason,Character longitudinal, Any text or numbers
MEMORY,b4,Original UDS question,Memory,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment"
ORIENT,b4,Original UDS question,Orientation,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment"
JUDGMENT,b4,Original UDS question,Judgment and problem-solving,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment"
COMMUN,b4,Original UDS question,Community affairs,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment"
HOMEHOBB,b4,Original UDS question,Home and hobbies,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment"
PERSCARE,b4,Original UDS question,Personal care,Numeric longitudinal," 0.0 = No impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment"
CDRSUM,b4,Original UDS question,Standard CDR sum of boxes,Numeric longitudinal," 0.0, 0.5, 1.0, 1.5, ..., 18.0 
(scores of 16.5 and 17.5 not possible)"
CDRGLOB,b4,Original UDS question,Global CDR,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment"
COMPORT,b4,Original UDS question,"Behavior, comportment, and personality",Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment
  -4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CDRLANG,b4,Original UDS question,Language,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment
  -4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NPIQINF,b5,Original UDS question,NPI-Q co-participant,Numeric longitudinal," 1 = Spouse
2 = Child
3 = Other
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NPIQINFX,b5,Original UDS question,"NPI-Q co-participant, other-specify",Character longitudinal, Any text or numbers
DEL,b5,Original UDS question,Delusions in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DELSEV,b5,Original UDS question,Delusions severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no delusions reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HALL,b5,Original UDS question,Hallucinations in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HALLSEV,b5,Original UDS question,Hallucinations severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no hallucinations reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
AGIT,b5,Original UDS question,Agitation or aggression in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
AGITSEV,b5,Original UDS question,Agitation or aggression severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant 
	change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no agitation or aggression reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DEPD,b5,Original UDS question,Depression or dysphoria in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DEPDSEV,b5,Original UDS question,Depression or dysphoria severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no depression or dysphoria reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ANX,b5,Original UDS question,Anxiety in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ANXSEV,b5,Original UDS question,Anxiety severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no anxiety reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ELAT,b5,Original UDS question,Elation or euphoria in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ELATSEV,b5,Original UDS question,Elation or euphoria severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no elation or euphoria reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
APA,b5,Original UDS question,Apathy or indifference in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
APASEV,b5,Original UDS question,Apathy or indifference severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no apathy or indifference reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DISN,b5,Original UDS question,Disinhibition in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DISNSEV,b5,Original UDS question,Disinhibition severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no disinhibition reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
IRR,b5,Original UDS question,Irritability or lability in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
IRRSEV,b5,Original UDS question,Irritability or lability severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no irritability or lability reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MOT,b5,Original UDS question,Motor disturbance in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MOTSEV,b5,Original UDS question,Motor disturbance severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no motor disturbance reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NITE,b5,Original UDS question,Nighttime behaviors in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NITESEV,b5,Original UDS question,Nighttime behaviors severity,Numeric longitudinal," 1 = Mild (noticeable, but not a significant change)
2 = Moderate (significant, but not a dramatic change)
3 = Severe (very marked or prominent; a dramatic change)
8 = Not applicable, no nighttime behaviors reported
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
APP,b5,Original UDS question,Appetite and eating problems in the last month,Numeric longitudinal," 0 = No
1 = Yes
9 = Unknown
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
